model,max_length,EM,f1
bert-base-uncased,100,40.37735849056604,48.37843114902886
bert-base-uncased,130,40.75471698113208,50.03334751149239
bert-base-uncased,160,39.62264150943396,50.0458568750388
bert-base-uncased,190,38.11320754716981,48.35407454619416
bert-base-uncased,220,40.0,50.18459987753553
bert-base-uncased,250,40.37735849056604,51.687931598349216
bert-base-uncased,280,37.735849056603776,48.400679386683
bert-base-uncased,310,40.0,50.82078006538522
bert-base-uncased,340,38.490566037735846,48.13584977611498
bert-base-uncased,370,40.0,50.06843448180966
bert-base-uncased,400,38.490566037735846,49.87655559739361
albert-base-v1,100,39.62264150943396,50.42365152929485
albert-base-v1,130,41.13207547169812,51.115454892635626
albert-base-v1,160,44.15094339622642,54.53335314909168
albert-base-v1,190,43.77358490566038,55.10671199868305
albert-base-v1,220,43.39622641509434,55.34638934207361
albert-base-v1,250,41.886792452830186,53.69372331022266
albert-base-v1,280,44.905660377358494,56.50737047539835
albert-base-v1,310,46.0377358490566,57.90700392577999
albert-base-v1,340,45.66037735849056,56.97690805973576
albert-base-v1,370,48.67924528301887,60.875595243508485
albert-base-v1,400,46.41509433962264,56.907818451731785
distilroberta-base,100,47.16981132075472,56.36367192640812
distilroberta-base,130,44.528301886792455,54.55985752989081
distilroberta-base,160,47.16981132075472,55.65240462138837
distilroberta-base,190,46.41509433962264,55.48062636329614
distilroberta-base,220,44.905660377358494,53.88501207661396
distilroberta-base,250,45.66037735849056,55.75373944198149
distilroberta-base,280,47.16981132075472,57.60449403048743
distilroberta-base,310,44.15094339622642,53.519729738175975
distilroberta-base,340,45.283018867924525,54.87555902212322
distilroberta-base,370,46.79245283018868,56.43101502968408
distilroberta-base,400,46.0377358490566,54.5461435438088
distilbert-base-uncased,100,37.35849056603774,46.1642347566876
distilbert-base-uncased,130,37.735849056603776,48.12511284431373
distilbert-base-uncased,160,36.9811320754717,46.09572329460274
distilbert-base-uncased,190,37.35849056603774,46.796766951877125
distilbert-base-uncased,220,37.35849056603774,46.83706128346711
distilbert-base-uncased,250,38.11320754716981,47.55617600132873
distilbert-base-uncased,280,37.735849056603776,47.01121071759243
distilbert-base-uncased,310,40.0,50.47426108740339
distilbert-base-uncased,340,38.86792452830189,48.32978237711625
distilbert-base-uncased,370,37.735849056603776,48.00423907652036
distilbert-base-uncased,400,40.0,50.48491180697905
google/electra-base-discriminator,100,44.15094339622642,53.548015995759705
google/electra-base-discriminator,130,43.77358490566038,55.55124080117947
google/electra-base-discriminator,160,46.0377358490566,56.28710688808826
google/electra-base-discriminator,190,44.528301886792455,57.66610619427552
google/electra-base-discriminator,220,44.15094339622642,55.34739478108319
google/electra-base-discriminator,250,47.9245283018868,59.251209655465175
google/electra-base-discriminator,280,48.301886792452834,61.30299976853839
google/electra-base-discriminator,310,49.81132075471698,61.93029076324671
google/electra-base-discriminator,340,49.81132075471698,61.76970287512992
google/electra-base-discriminator,370,49.0566037735849,61.58015556840471
google/electra-base-discriminator,400,47.9245283018868,60.88761305812137
roberta-base,100,49.81132075471698,61.84678957103437
roberta-base,130,50.943396226415096,64.09262004487778
roberta-base,160,51.698113207547166,63.99983490879572
roberta-base,190,50.18867924528302,63.37838872825065
roberta-base,220,52.45283018867924,65.47474197909158
roberta-base,250,51.320754716981135,63.12280513265671
roberta-base,280,54.33962264150944,67.76782819285047
roberta-base,310,55.09433962264151,66.87355103087077
roberta-base,340,53.58490566037736,66.8540182561699
roberta-base,370,52.83018867924528,65.90040211252088
roberta-base,400,54.33962264150944,65.71874959177933
bert-base-cased,100,39.24528301886792,47.99931517624531
bert-base-cased,130,40.37735849056604,49.943250722434406
bert-base-cased,160,40.0,51.66382710196609
bert-base-cased,190,41.132075471698116,52.05634566343771
bert-base-cased,220,40.0,51.819434768775366
bert-base-cased,250,41.886792452830186,51.16617086192032
bert-base-cased,280,38.490566037735846,48.99466681045533
bert-base-cased,310,42.264150943396224,53.86976551095092
bert-base-cased,340,40.37735849056604,52.68138044876279
bert-base-cased,370,38.490566037735846,50.53899375498087
bert-base-cased,400,38.113207547169814,48.79818803150163
