model,max_length,EM,f1
bert-base-uncased,100,69.64,78.92028270379309
bert-base-uncased,130,70.44,79.86212834395495
bert-base-uncased,160,71.6,81.36605132954566
bert-base-uncased,190,71.8,81.64448529506292
bert-base-uncased,220,72.26,81.96867067108582
bert-base-uncased,250,72.42,82.2002115638589
bert-base-uncased,280,72.5,82.28736916001307
bert-base-uncased,310,72.46,82.25004840675454
bert-base-uncased,340,72.56,82.34053112664904
bert-base-uncased,370,72.48,82.28739854681059
bert-base-uncased,400,72.58,82.36759233157085
google/electra-base-discriminator,100,75.8,83.47878493587439
google/electra-base-discriminator,130,76.92,84.88529128422789
google/electra-base-discriminator,160,78.22,86.26122179840375
google/electra-base-discriminator,190,78.84,86.90539484303447
google/electra-base-discriminator,220,79.42,87.43314450265704
google/electra-base-discriminator,250,79.78,87.70196661533654
google/electra-base-discriminator,280,79.82,87.7505422235671
google/electra-base-discriminator,310,79.96,87.93303608033231
google/electra-base-discriminator,340,79.96,87.98718108433842
google/electra-base-discriminator,370,79.96,88.01832515664039
google/electra-base-discriminator,400,80.02,87.99926670591589
roberta-base,100,79.9,87.03214123526345
roberta-base,130,80.6,87.97223273364425
roberta-base,160,81.44,88.66834105782347
roberta-base,190,81.78,88.89774385077475
roberta-base,220,82.08,89.2296609196827
roberta-base,250,81.98,89.13917544310993
roberta-base,280,82.12,89.20566360071864
roberta-base,310,82.14,89.29313505475481
roberta-base,340,82.1,89.26818902300877
roberta-base,370,82.18,89.33129879744489
roberta-base,400,82.14,89.28164570543883
squeezebert/squeezebert-uncased,100,49.9,60.416574613950544
squeezebert/squeezebert-uncased,130,54.08,65.1894316949292
squeezebert/squeezebert-uncased,160,57.04,68.52763593548826
squeezebert/squeezebert-uncased,190,58.84,70.27188120393924
squeezebert/squeezebert-uncased,220,59.46,71.06963427369928
squeezebert/squeezebert-uncased,250,60.28,71.91612940459105
squeezebert/squeezebert-uncased,280,60.42,72.21083259894483
squeezebert/squeezebert-uncased,310,60.64,72.4248284130722
squeezebert/squeezebert-uncased,340,60.76,72.54324721649101
squeezebert/squeezebert-uncased,370,60.78,72.594896817492
squeezebert/squeezebert-uncased,400,60.78,72.61168696301897
distilroberta-base,100,70.26,79.6641533787956
distilroberta-base,130,71.26,80.45347583775337
distilroberta-base,160,71.9,81.18189662752604
distilroberta-base,190,71.8,81.17585755661909
distilroberta-base,220,71.78,81.1862113303362
distilroberta-base,250,71.78,81.26099426094483
distilroberta-base,280,71.86,81.28758211426796
distilroberta-base,310,71.9,81.36316016195127
distilroberta-base,340,71.9,81.36691788960376
distilroberta-base,370,71.96,81.42415354283939
distilroberta-base,400,71.9,81.41941419446847
albert-base-v1,100,71.98,80.88186545911172
albert-base-v1,130,73.6,82.33254346928459
albert-base-v1,160,74.72,83.77519882912658
albert-base-v1,190,74.98,84.17072519074557
albert-base-v1,220,75.22,84.55483673801453
albert-base-v1,250,75.48,84.88633389497335
albert-base-v1,280,75.58,84.86968072287311
albert-base-v1,310,75.64,84.94703528364684
albert-base-v1,340,75.64,84.98697243043539
albert-base-v1,370,75.72,85.04868711286339
albert-base-v1,400,75.7,85.085315964404
distilbert-base-uncased,100,64.48,75.08510619072798
distilbert-base-uncased,130,65.02,75.4900330790155
distilbert-base-uncased,160,65.34,75.97301092873899
distilbert-base-uncased,190,65.22,76.04861399710074
distilbert-base-uncased,220,65.46,76.2117825514185
distilbert-base-uncased,250,65.58,76.4228524701578
distilbert-base-uncased,280,65.64,76.49612241423735
distilbert-base-uncased,310,65.7,76.59073026281578
distilbert-base-uncased,340,65.64,76.53182662465828
distilbert-base-uncased,370,65.62,76.54167461693662
distilbert-base-uncased,400,65.56,76.48569217345417
bert-base-cased,100,70.98,79.9303602436568
bert-base-cased,130,71.78,80.94763979211851
bert-base-cased,160,72.94,81.94939412911225
bert-base-cased,190,72.98,82.31263173826397
bert-base-cased,220,73.26,82.7145605201883
bert-base-cased,250,73.74,83.12474179711627
bert-base-cased,280,73.64,83.03227191502258
bert-base-cased,310,73.66,83.07767667654933
bert-base-cased,340,73.68,83.04587350194615
bert-base-cased,370,73.62,83.02132168121786
bert-base-cased,400,73.6,83.00797837196434
